radio,ரேடியோ
ivarukku,இவருக்கு
kalaimaamani,கலைமாமணி
viruthu,விருது
vazhangappattathu,வழங்கப்பட்டது
</s>,</s>
melum,மேலும்
himaachal,இமாச்சல
pradesam,பிரதேசம்
athan,அதன்
panikkatti,பனிக்கட்டி
malaigal,மலைகள்
adarntha,அடர்ந்த
pasumaiyaana,பசுமையான
pulveligal,புல்வெளிகள்
idaiye,இடையே
saagasa,சாகச
vilaiyaatukkalum,விளையாட்டுக்களும்
mattrum,மற்றும்
amaithiyaana,அமைதியான
azhaagana,அழகான
yerigalukkum,ஏரிகளுக்கும்
prasiththipettrathaaga,பிரசித்திபெற்றதாக
ariyappadugirathu,அறியப்படுகிறது
</s>,</s>
stars,ஸ்ட்ராஸ்
aagiyorin,ஆகியோரின்
karuththupadi,கருத்துபடி
nalla,நல்ல
pagaa,பகா
yen,எண்
sallithu,அல்லது
593,593
in,ன்
varkkamaanathu,வர்க்கமானது
prathaana,பிரதான
iru,இரு
pagaa,பகா
yengalin,எண்களின்
prerunkalai,பெருக்கலை
vida,விட
athigamaana,அதிகமாக
irukkum,இருக்கும்
</s>,</s>
thiraiththurai,திரைத்துறை
kalai,கலைப்
palli,பள்ளி
</s>,</s>
aala,ஆல
mandabam,மண்டபம்
</s>,</s>
kanimiyai,கணிமியை
allathu,அல்லது
parappiyai,பரப்பியை
piriththedukka,பிரித்தெடுக்க
palveru,பல்வேறு
muraigalum,முறைகளும்
tharkaalaththil,தற்காலத்தில்
kit,கிட்
kit,kit
yennum,என்னும்
thaniyaar,தனியார்
niruvanaththaarin,நிறுவனத்தாரின்
aayaththa,ஆயத்த
porulgalum,பொருள்களும்
baavikkappadukindrana,பாவிக்கப்படுகின்றன
</s>,</s>
nadana,நடன
aasiriyaraaga,ஆசிரியராக
heeralaal,ஹீராலால்
paniyaattrinaargal,பணியாற்றினார்கள்
</s>,</s>
annaiththu,அனைத்து
mullanthandigalilum,முள்ளந்தண்டிலிகளிலும்
kuruthiye,குருதியே
moochuththoguthyilrundhu,மூச்சுத்தொகுதியிலிருந்து
udarkalangalukku,உடற்கலங்களுக்கு
oxygenaiyum,ஆக்சிசனையும்
udarkalangalilirudhum,உடற்கலங்களிலிருந்து
moochuthoguthikku,மூச்சுத்தொகுதிக்கு
kaabaneereksaadaiyum,காபனீரொக்சைட்டையும்
kaavugindrathu,காவுகின்றது
</s>,</s>
ithu,இது
vaaranthorum,வாரந்தோறும்
vellikkizamaiyil,வெள்ளிக்கிழமையில்
veliyaagirathu,வெளியாகிறது
</s>,</s>
theeviramaana,தீவிரமான
vazhakkugalil,வழக்குகளில்
ithu,இது
vangiyai,வங்கியை
moodum,மூடும்
nilaimaiyai,நிலைமையை
yerpaduththum,ஏற்படுத்தும்
</s>,</s>
uriyiyal,உரியியல்
</s>,</s>
pothumaippaduththappatta,பொதுமைப்படுத்தப்பட்ட
iyngkona,ஐங்கோண
yengal,எண்கள்
maiyappaduththappatta,மையப்படுத்தப்பட்ட
arukona,அறுகோண
yengaludan,எண்களுடன்
nerungiya,நெருங்கிய
thodarbudaiyana,தொடர்புடையன
</s>,</s>
meengalil,மீன்களில்
pothuvaaga,பொதுவாக
pookal,பூக்கள்
nuraiyeeral,நுரையீரல்
meengalaith,மீன்களைத்
thavira,தவிர
kaanappaduvathudan,காணப்படுவதுடன்
yenaiyavattril,ஏனையவற்றில்
nuraiyeeral,நுரையீரல்
kaanappadukinrathu,காணப்படுகின்றது
</s>,</s>
vavuniyaa,வவுனியா
maavattaththil,மாவட்டத்தில்
ulla,உள்ள
oorgalin,ஊர்களின்
pattiyal,பட்டியல்
</s>,</s>
gandhi,காந்தி
nadaththiya,நடத்திய
ahmedabad,ஆமதாபாத்து
sabarmati,சபர்மதி
aasiramathilum,ஆசிரமத்திலும்
vaarthaa,வார்தா
sevaa,சேவா
graamilum,கிராமிலும்
thangi,தங்கி
valarnthavar,வளர்ந்தவர்
</s>,</s>
kudiyaanavargalin,குடியானவர்களின்
kalagam,கலகம்
moondapothu,மூண்டபோது
sang,சாங்
kaan,கான்
0,7
paniyaalargalaiyum,பணியாளர்களையும்
kalavaraththai,கலவரத்தை
odukka,ஒடுக்க
anuppinaar,அனுப்பினார்
</s>,</s>
e.pa.tha,இ.பா.த
mandraththaal,மன்றத்தால்
aanduthorum,ஆண்டுதோறும்
veliyidappadum,வெளியிடப்படும்
aaiyvuk,ஆய்வுக்
kovai,கோவை
noolgalin,நூல்களின்
pathippaasiriyar,பதிப்பாசிரியர்
</s>,</s>
1952il,1952ல்
marshall,மார்ஷல்
ketsh,கேட்ஷ்
yendra,என்ற
ariviyal,அறிவியல்
seyarkai,செயற்கை
muraiyil,முறையில்
ithai,இதை
thayaariththu,தயாரித்து
nettri,வெற்றி
kandaar,கண்டார்
</s>,</s>
iruthi,இறுதி
sadangugal,சடங்குகள்
niraivuttrrathum,நிறைவுற்றதும்
ulvazhi,உள்வழி
moolappattu,மூடப்பட்டு
velivazhi,வெளிவழி
adaikkappattathu,அடைக்கப்பட்டது
</s>,</s>
avargal,அவர்கள்
ore,ஒரே
adippaagaththaik,அடிப்பாகத்தைக்
konda,கொண்ட
iru,இரு
sengkona,செங்கோண
vattak,வட்டக்
koombinai,கூம்பினை
thidamaana,திடமான
sarivagam,சரிவகம்
yendru,என்று
azhaikkinranar,அழைக்கின்றனர்
</s>,</s>
muganoolil,முகநூலில்
karishma,கரிஷ்மா
thannaa,தன்னா
</s>,</s>
ivar,இவர்
t,டி
yegufordsudan,ஏகுஃபோர்சுடன்
inainthu,இணைந்து
radar,ரேடார்
vaaniyal,வானியல்
endra,என்ற
noolai,நூலை
ezhuthinaar,எழுதினார்
</s>,</s>
papper,பேப்பர்
mattrum,மற்றும்
yeri,எரி
saarayam,சாராயம்
thayarikka,தயாரிக்க
uthavugirathu,உதவுகிறது
</s>,</s>
nilavin,நிலவின்
kuzhippallam,குழிப்பள்ளம்
ondru,ஒன்று
paayaark,பாயார்க்
kuzhippallam,குழிப்பள்ளம்
yena,என
ivarathu,இவரது
peyaraal,பெயரால்
azhaikkappadugirathu,அழைக்கப்படுகிறது
</s>,</s>
thatheesi,ததீசி
puraanam,புராணம்
vinaavidaip,வினாவிடைப்
puraanam,புராணம்
sithampara,சிதம்பர
puraanam,புராணம்
yennum,என்னும்
naangu,நான்கு
paguthigalai,பகுதிகளை
thirumalainaathar,திருமலைநாதர்
yenbavar,என்பவர்
thamizhil,தமிழில்
mozhippeyarththullaar,மொழிப்பெயர்த்துள்ளார்
</s>,</s>
akkatturaiyinaal,அக்கட்டுரையினால்
unthappatta,உந்தப்பட்ட
baux,பாக்ஸ்
14,14
maatha,மாத
payirchi,பயிற்சி
yeduththuk,எடுத்துக்
kondaar,கொண்டார்
</s>,</s>
avaraip,அவரைப்
polave,போலவே
nanbargalum,நண்பர்களும்
uravinargalum,உறவினர்களும்
unavidri,உணவின்றி
varunthinar,வருந்தினர்
</s>,</s>
jeremi,ஜெரெமி
biven,பிவேன்
</s>,</s>
mudaang,முடாங்
yenappadum,எனப்படும்
pen,பெண்
veriyaadigal,வெறியாடிகள்
aavigalin,ஆவிகளின்
thunaiyaik,துணையைக்
kondun,கொண்டு
meimarantha,மெய்ம்மறந்த
aattaththin,ஆட்டத்தின்
vazhiyaaga,வழியாக
immaikku,இம்மைக்கு
vendiya,வேண்டிய
nalanggalaip,நலங்களைப்
pettruth,பெற்றுத்
tharvathaaga,தருவதாக
indrum,இன்றும்
nambukinranar,நம்புகின்றனர்
</s>,</s>
udalaalum,உடலாலும்
manathaalum,மனதாலும்
miga,மிக
vegamaaga,வேகமாக
maaruthalgalai,மாறுதல்களை
santhikkum,சந்திக்கும்
paruvam,பருவம்
intha,இந்த
valarilam,வளரிளம்
paruvam,பருவம்
</s>,</s>
sivan,சிவன்
pachcahiyaagak,பச்சையாகக்
kaatchiyalikkindraar,காட்சியளிக்கின்றார்
</s>,</s>
di,டை
ethyl,எத்தில்
ether,ஈதர்
kurippaaga,குறிப்பாக
cellulose,செல்லுலோஸ்
acetate,அசெட்டேட்
yendrazhaikkappadum,என்றழைக்கப்படும்
cellulose,செல்லுலோஸ்
neghizhigal,நெகிழிகள்
thayaarippathil,தயாரிப்பதில்
karaippaanaaga,கரைப்பானாக
mukkiyaththuvam,முக்கியத்துவம்
vagiththathu,வகித்தது
</s>,</s>
ithan,இதன்
pinnar,பின்னர்
merke,மேற்கே
kaarthej,கார்த்தேஜ்
rome,ரோம்
iberiyak,ஐபீரியக்
kudanaadu,குடாநாடு
aagiyavattrai,ஆகியவற்றை
nokkich,நோக்கிச்
sellavum,செல்லவும்
avaridam,அவரிடம்
thittam,திட்டம்
irundhadhu,இருந்தது
</s>,</s>
ivai,இவை
niralgalil,நிரல்களில்
kuraintha,குறைந்த
vazhukkal,வழுக்கள்
allathu,அல்லது
vazhukkalai,வழுக்களை
yelithaaga,எளிதாக
kandariya,கண்டறிய
uthavugirathu,உதவுகிறது
</s>,</s>
pala,பல
thdavai,தடவை
suttum,சுட்டும்
irakkavillai,இறக்கவில்லை
</s>,</s>
pasumai,பசுமை
nagarppuraviyam,நகர்ப்புறவியம்
palthurai,பல்துறை
saarnthathu,சார்ந்தது
</s>,</s>
varum,வரும்
vazhiyil,வழியில்
vimaanam,விமானம்
vibaththukkullaagi,விபத்துக்குள்ளாகி
avarum,அவ்ரும்
avarathu,அவரது
manaiviyum,மனைவியும்
uyirizhakkinranar,உயிரிழக்கின்றனர்
</s>,</s>
ilangai,இலங்கை
naadaalumandram,நாடாளுமன்றம்
maagaanasabaigal,மாகாணசபைகள்
pondravattrukku,போன்றவற்றுக்கு
uruppinargalai,உறுப்பினர்களைத்
therivu,தெரிவு
seivatharkaaga,செய்வதற்காக
uruvakkappatta,உருவாக்கப்பட்ட
oru,ஒரு
puviyiyal,புவியியல்
alagu,அலகு
</s>,</s>
isulaamiyak,இசுலாமைக்
keli,கேலி
seitha,செய்த
kuttraththirkaaga,குற்றத்திற்காக
manitha,மனித
urimaip,உரிமைப்
pathivaraana,பதிவரான
rayif,ராயிஃப்
padaavi,படாவி
yenbavarukku,என்பவருக்கு
saudhi,சவூதி
arabia,அரேபியா
10,10
aandugal,ஆண்டுகள்
siraiththandanaiyum,சிறைத்தண்டனையும்
1000,1000
kasaiyadigalum,கசையடிகளும்
vazhangiyathu,வழங்கியது
</s>,</s>
ukrane,உக்ரைன்
thonesthsk,தோனெத்ஸ்க்
nagar,நகர்
meethu,மீது
yerikanaith,எறிகணைத்
thaakuthalgal,தாக்குதல்கள்
idampettrathil,இடம்பெற்றதில்
6,6
per,பேர்
kollappattanar,கொல்லப்பட்டனர்
ab,ஏபி
</s>,</s>
ivaigal,இவைகள்
bacteriaavukku,பக்டீரியாவுக்கு
noi,நோய்
thoondum,தூண்டும்
thanmai,தன்மை
kodukkindrana,கொடுக்கின்றன
</s>,</s>
bhaaratha,பாரத
vilas,விலாஸ்
</s>,</s>
reeda,ரீடா
</s>,</s>
1979-il,1979-இல்
rastriya,ராஷ்டிரிய
suyamsevaak,சுயம்சேவாக்
sangaththin,சங்கத்தின்
uruppinaraaga,உறுப்பினராக
inaintha,இணைந்த
thiriventhira,திரிவேந்திர
sing,சிங்
raavuth,ராவத்
1985-il,1985-இல்
deraadun,டேராடூன்
paguthiyin,பகுதியின்
prasaarakar,பிரசாரகர்
aaga,ஆக
poruppu,பொறுப்பு
vagiththaar,வகித்தார்
</s>,</s>
intha,இந்தத்
thogai,தொகை
andraiya,அன்றைய
mettrriraasanak,மேற்றிராசனக்
kovil,கோவில்
catholikkar,கத்தோலிக்கர்
thogaiyil,தொகையில்
saripaathiyaagum,சரிபாதியாகும்
</s>,</s>
paarpatharku,பார்ப்பதற்கு
milagu,மிளகு
polave,போலவே
ullathu,உள்ளது
</s>,</s>
rajaram,ராஜாராம்
pandevaaga,பாண்டேவாக
ravi,ரவி
sing,சிங்
</s>,</s>
intha,இந்த
kulaththukku,குளத்துக்கு
gugaiyil,குகையில்
irundhu,இருந்து
veliyerum,வெளியேறும்
oottru,ஊற்று
neer,நீர்
vanthu,வந்து
serumaaru,சேருமாறு
amaikkappattullathu,அமைக்கப்பட்டுள்ளது
</s>,</s>
othiyan,உதியன்
kuzhumooril,குழுமூரில்
vaazhntha,வாழ்ந்த
oru,ஒரு
vallal,வள்ளல்
</s>,</s>
iravunera,இரவுநேர
pozhuthupokkaaga,பொழுதுபோக்காக
villiyaththin,வில்லியத்தின்
vaaniyal,வானியல்
aarvam,ஆர்வம்
thodangiyullathu,தொடங்கியுள்ளது
</s>,</s>
avan,அவன்
isulaamiyath,இசுலாமைத்
thazhuva,தழுவ
maruththathum,மறுத்ததும்
isulaamiya,இசுலாமியப்
padaiyeduppugalai,படையெடுப்புகளை
yethirkakth,எதிர்க்கத்
thayangiyathum,தயங்கியதும்
akkathaigalil,அக்கதைகளில்
sollappadukindrathu,சொல்லப்படுகின்றது
sirepon,சிரேபொன்
sulthaanagaththai,சுல்தானகத்தை
aanda,ஆண்ட
sakkarabuvanan,சக்கரபுவனன்
avanthu,அவனது
sonthakkuruthi,சொந்தக்குருதி
yenbathu,என்பதும்
itharkor,இதற்கோர்
kaaranamaagalam,காரணமாகலாம்
</s>,</s>
ippirivu,இப்பிரிவு
isrelin,இசுரேலின்
yerakkuraiya,ஏறக்குறைய
yella,எல்லா
mukkiya,முக்கிய
porgalilum,போர்களிலும்
yenaiya,ஏனைய
seyarpaadugalilum,செயற்பாடுகளிலும்
pangkeduththullathu,பங்கெடுத்துள்ளது
</s>,</s>
kaattrriyakkaviyal,காற்றியக்கவியல்
yeppothum,எப்போதும்
vaayu,வாயு
iyakkaviyal,இயக்கவியல்
yenaporulpadavum,எனப்பொருள்படவும்
payanaduththappadum,பயன்படுத்தப்படும்
aannal,ஆனால்
vaayu,வாயு
iyakkaviyal,இயக்கவியல்
anaiththu,அனைத்து
vaayukklalukkum,வாயுக்களுக்கும்
payanpaduththappadum,பயன்படுத்தப்படும்
</s>,</s>
ithanaal,இதனால்
mersonna,மேற்சொன்ன
koorugalin,கூறுகளின்
alavugalaiyo,அளவுகளையோ
avattrin,அவற்றின்
amaividangkalaiyo,அமைவிடங்களையோ
thulliyamaaga,துல்லியமாக
nilaippadangalilirundhu,நிலைப்படங்களிலிருந்து
pera,பெற
mudiyaathu,முடியாது
</s>,</s>
kalvik,கல்விக்
koodangal,கூடங்கள்
</s>,</s>
brist,பிரிஸ்ட்
palkalaikkazhagam,பல்கலைக்கழகம்
thiruchchi,திருச்சி
maiyam,மையம்
</s>,</s>
sameenaththiya,சமீபத்திய
aandugalil,ஆண்டுகளில்
parisothanaireethiyilaana,பரிசோதனைரீதியிலான
ceramic,செராமிக்
kaththigal,கத்திகள்
uruvakkappattu,உருவாக்கப்பட்டு
suzhali,சுழலி
nuzhaivazhi,நுழைவழி
veppanilaiyai,வெப்பநிலையை
athigarippathu,அதிகரிப்பது
mattrum/allathu,மற்றும்/அல்லது
kaattrukkulirvadaivathai,காற்றுக்குளிர்வடைவதை
neekkum,நீக்கும்
nokkaththodu,நோக்கத்தோடு
avvayu,வாயு
visaiyaazhigalil,விசையாழிகளில்
sothikkappadugindrana,சோதிக்கப்படுகின்றன
</s>,</s>
thaanaa,தானா
meraa,மேரா
thodarnthu,தொடருந்து
nilaiyum,நிலையம்
singapoorin,சிங்கப்பூரின்
thurithak,துரிதக்
kadavu,கடவு
rayil,ரயில்
nilaiyangalil,நிலையங்களில்
onrdraagum,ஒன்றாகும்
</s>,</s>
nadu,நடு
iroppaa,ஐரோப்பா
yendra,என்ற
karuththuru,கருத்துரு
pothuvaaga,பொதுவாக
sarchcahikkuriyathaagum,சர்ச்சைக்குரியதாகும்
</s>,</s>
indhu,இந்து
matham,மதம்
saarnthavargalukkaana,சார்ந்தவர்களுக்கான
inaiya,இணைய
thalam,தளம்
</s>,</s>
avar,அவர்
angu,அங்கு
vaiththuk,வைத்துக்
kolai,கொலை
seyyappattirukkalaam,செய்யப்பட்டிருக்கலாம்
yena,என
oodagangal,ஊடகங்கள்
santhegam,சந்தேகம்
theriviththirunthana,தெரிவித்திருந்தன
</s>,</s>
ivvunthuthalin,இவ்வுந்துதலின்
vilaivaaga,விளைவாக
uyiri,உயிரி
sakthi,சக்தி
pettrru,பெற்று
viraippu,விறைப்பு
nilaiyai,நிலையை
adaigirathu,அடைகிறது
</s>,</s>
sharppin,ஷார்ப்பின்
inthath,இந்தத்
thittaththirku,திட்டத்திற்கு
yethirppugal,எதிர்ப்புகள்
yezhunthana,எழுந்தன
</s>,</s>
itharkkum,இதற்கும்
thozhirsaalaik,தொழிற்சாலைக்
kazhivugal,கழிவுகள்
mukkiy,முக்கிய
kaaranigalaaga,காரணிகளாக
iruppinum,இருப்பினும்
tharkaala,தற்கால
velaanmai,வேளாண்மை
muragalum,முறைகளும்
manmaasadaithalukkup,மண்மாசடைதலுக்குப்
perumalavu,பெருமளவு
pangalippuch,பங்களிப்புச்
seikindrana,செய்கின்றன
yenalaam,எனலாம்
</s>,</s>
naangal,நாங்கள்
unmaiyaana,உண்மையான
moolangalukku,மூலங்களுக்கு
allathu,அல்லது
sambanthappatta,சம்பந்தப்பட்ட
makkalidam,மக்களிடம்
ponaal,போனால்
marmam,மர்மம்
karainthu,கரைந்து
poi,போய்
vidugirathu,விடுகிறது
vignganam,விஞ்ஞானம்
mukkonam,முக்கோணம்
kuriththa,குறித்த
kelvigalukku,கேள்விகளுக்கு
pathil,பதில்
solla,சொல்ல
vendiyathillai,வேண்டியதில்லை
yenendraal,ஏனென்றால்
muthalil,முதலில்
intha,இந்த
kelvigale,கேள்விகளே
unmaiyaanathalla,உண்மையானதல்ல
ulagin,உலகின்
mattra,மற்ற
yengum,எங்கும்
polaththaan,போலத்தான்
ingum,இங்கும்
kappalgalum,கப்பல்களும்
vimaanagalum,விமானங்களும்
seualpadukindrana,செயல்படுகின்றன
</s>,</s>
kanndupidiththal,கண்டுபிடித்தல்
pizhaiyin,பிழையின்
pokku(det,போக்கு(DET
tyenbathu,என்பது
or,ஓர்
pothuvaana,பொதுவான
verupaadaagum,வேறுபாடாகும்
</s>,</s>
kurippaga,குறிப்பாக
palveru,பல்வேறு
marappalagai,மரப்பலகை
vagaigal,வகைகள்
iyarkaik,இயற்கைக்
karpalagaigal,கற்பலகைகள்
oodugal,ஓடுகள்
ulogangal,உலோகங்கள்
pondravattrin,போன்றவற்றின்
merparappukkalaip,மேற்பரப்புக்களைப்
pondra,போன்ற
thottrangalai,தோற்றங்களை
neghizhi,நெகிழி
ottuththgadugalin,ஒட்டுத்தகடுகளின்
merparappil,மேற்பரப்பில்
konduvara,கொண்டுவர
mudiyum,முடியும்
</s>,</s>
eera,ஈர
thatpaveppa,தட்பவெப்ப
nilaiyum,நிலையும்
maari,மாறி
maari,மாறி
ingum,இங்குக்
kaanapadukindrana,காணப்படுகின்றன
</s>,</s>
irum,இரும்
panam,பனம்
ponthaith,போந்தைத்
thodum,தோடும்
karunj,கருஞ்
sinai,சினை
ara,அர
vaay,வாய்
vembin,வேம்பின்
am,அம்
kuzhaith,குழைத்
theriyalum,தெரியலும்
ongu,ஓங்கு
irunj,இருஞ்
senni,சென்னி
mempada,மேம்பட
milaintha,மிலைந்த
iru,இரு
peru,பெரு
ventharum,வேந்தரும்
oru,ஒரு
kalaththu,களத்து
aviya,அவிய
vennith,வெண்ணித்
thaakiya,தாக்கிய
veruvaru,வெருவரு
non,நோன்
thaal,தாள்
kan,கண்
aar,ஆர்
kanni,கண்ணி
karikaal,கரிகால்
valavan,வளவன்
porunaraattruppadai,பொருநராற்றுப்படை
</s>,</s>
kaasaa,காசா
da,ட
indhiyaavum,இந்தியாவும்
indiya,இந்திய
vanigamum,வணிகமும்
meendum,மீண்டும்
venthiya,வேந்திய
nithi,நிதி
avaiyin,அவையின்
keezh,கீழ்
konarappattana,கொணரப்பட்டன
</s>,</s>
pandagasaalai,பண்டகசாலை
</s>,</s>
coimbatore,கோயம்புத்தூர்
</s>,</s>
ithanaal,இதனால்
manitha,மனித
uruthottram,உருத்தோற்றம்
yenbathai,என்பதைத்
thenpadaathavaaru,தென்படாதவாறு
urukkulaikka,உருக்குலைக்க
iyandrathu,இயன்றது
</s>,</s>
kadavuchsol,கடவுச்சொல்
paathukaappaanathaaga,பாதுகாப்பானதாக
irukka,இருக்க
vendumendral,வேண்டுமென்றால்
yezhuththukkaludan,எழுத்துக்களுடன்
yengalaiyum,எண்களையும்
kuriyeedugalaiyum,குறியீடுகளையும்
serkka,சேர்க்க
vendum,வேண்டும்
</s>,</s>
thodarthanmai:oru,தொடர்தன்மை:ஒரு
kollaalavil,கொள்ளளவில்
oru,ஒரு
kurippitta,குறிப்பிட்ட
thirava,திரவ
nirai,நிறை
nuzhainthaal,நுழைந்தால்
athu,அது
kollalavai,கொள்ளளவை
vittu,விட்டு
veliyera,வெளியேற
vendum,வேண்டும்
allathu,அல்லது
kollalavukkul,கொள்ளளவுக்குள்
irukkum,இருக்கும்
niraiyai,நிறையை
mattra,மாற்ற
vendum,வேண்டும்
</s>,</s>
semili,செமிலி
oru,ஒரு
saathaarana,சாதாரண
manitharaaga,மனிதராக
irunthathaal,இருந்ததால்
siyusin,சியுசின்
uruvil,உருவில்
irundhu,இருந்து
velippatta,வெளிப்பட்ட
idi,இடி
mattrum,மற்றும்
minnal,மின்னல்
thaakki,தாக்கி
uyirizhanthaar,உயிரிழந்தார்
</s>,</s>
ivar,இவர்
munkala,முன்கள
veeraraavaar,வீரராவார்
</s>,</s>
thanathu,தனது
thodakkak,தொடக்கக்
kalviyai,கல்வியை
aangilavazhikkalvi,ஆங்கிலவழிக்கல்வி
moolam,மூலம்
pettra,பெற்ற
haajimuhammed,ஹாஜிமுகம்மது
pinnar,பின்னர்
parsi,பார்ஸி
mozhiyum,மொழியும்
uruthu,உருது
mozhiyum,மொழியும்
kattraar,கற்றார்
</s>,</s>
kurippidaththakka,குறிப்பிடத்தக்க
ithara,இதர
seyarthittangalil,செயற்திட்டங்களில்
maththiya,மத்திய
mattrum,மற்றும்
kizhakku,கிழக்கு
iroppaa,ஐரோப்பா
muzhuvathum,முழுவதும்
ariviyalaalargal,அறிவியலாளர்கள்
mattrum,மற்றும்
palkalaik,பல்கலைக்
kazagangalukkaana,கழகங்களுக்கான
uthavigal,உதவிகள்
sarajevovin,சரஜெவோவின்
muttrugaiyinpothu,முற்றுகையின்போது
pothumakkalukkaana,பொதுமக்களுக்கான
uthavigal,உதவிகள்
mattrum,மற்றும்
transperancy,டிரான்ஸ்பேரன்ஸி
international,இண்டர்நேஷனல்
aagiyavai,ஆகியவை
adangum,அடங்கும்
</s>,</s>
indhiyavil,இந்தியாவில்
pira,பிற
nagaralilum,நகரங்களிலும்
velinaadugalilum,வெளிநாடுகளிலும்
vilambara,விளம்பர
mugaamgal,முகாம்கள்
nadaththappattana,நடத்தப்பட்டன
</s>,</s>
andilirundhu,அன்றிலிருந்து
paalaaseer,பாலாசீர்
laari,லாறி
aathi,ஆதி
pursharaaga,புருஷராக
sri,ஸ்ரீ
man,மந்
naaraayanaraaga,நாராயணராக
paththaavathu,பத்தாவது
avathaaramaaga,அவதாரமாக
athavathu,அதாவது
kalki,கல்கி
avathaaramaaga,அவதாரமாக
arivikkappattar,அறிவிக்கப்பட்டார்
</s>,</s>
kandap,கண்டப்
poththukkal,போத்துக்கல்
thavira,தவிர
aththilaanthik,அத்திலாந்திக்
theevukkootangalaana,தீவுக்கூட்டங்களான
asoresu,அசோரெசு
matheriyaa,மதேரியா
yenbanavum,என்பனவும்
porththugalin,போர்த்துகலின்
iraimaikkul,இறைமைக்குள்
adangum,அடங்கும்
paguthigal,பகுதிகள்
aagum,ஆகும்
</s>,</s>
arisona,அரிசோனா
maanila,மாநில
palkalaikkazhagaththin,பல்கலைக்கழகத்தின்
oru,ஒரு
aaiyvu,ஆய்வு
noolagarum,நூலகரும்
the,தி
permuda,பெர்முடா
triangle,டிரையாங்கிள்
mystery,மிஸ்டரி
solved,சால்வ்டு
1975,1975
puththaka,புத்தக
aasiriyarumaana,ஆசிரியருமான
lawrence,லாரன்ஸ்
david,டேவிட்
kuse,குசெ
thaan,தான்
intha,இந்த
pokkinai,போக்கினை
maruthaliththaar,மறுதலித்தார்
</s>,</s>
setsenni,சேட்சென்னி
nalangkilli,நலங்கிள்ளி
putpagai,புட்பகை
thervan,தேர்வண்
killi,கிள்ளி
yennum,என்னும்
peyargal,பெயர்கள்
ivanukku,இவனுக்கு
undu,உண்டு
</s>,</s>
a.-il,ஏ.-இல்
seraruththukku,சேரருத்துக்கு
mun,முன்
ivar,இவர்
naalu,நாலு
aandu,ஆண்டு
indhiyaanaa,இந்தியானா
maanilap,மாநிலப்
palkalaikkazhagaththil,பல்கலைக்கழகத்தில்
koodaippanthu,கூடைப்பந்து
vilaiyaadinaar,விளையாடினார்
</s>,</s>
sirungaarath,சிருங்காரத்
thandavam,தாண்டவம்
</s>,</s>
karbini,கர்ப்பிணி
pengal,பெண்கள்
roja,ரோஜா
ithazhgaludan,இதழ்களுடன்
saappidalaam,சாப்பிடலாம்
</s>,</s>
jayanthan,ஜெயந்தன்
mattrum,மற்றும்
jayanthi,ஜெயந்தி
theivaanai,தெய்வானை
mattrum,மற்றும்
siththirakupthar,சித்திரகுப்தர்
aagiyorin,ஆகியோரின்
thaayaavaal,தாயாவாள்
</s>,</s>
ichsirpangal,இச்சிற்பங்கள்
yaavum,யாவும்
perumbaalum,பெரும்பாலும்
sanga,சங்க
kaalaththaich,காலத்தைச்
sernthavai,சேர்ந்தவை
yendru,என்று
therigirathu,தெரிகிறது
</s>,</s>
munbu,முன்பு
por,போர்
nadantha,நடந்த
nagarin,நகரின்
vadakanavaayaana,வடகணவாயான
naatch,நாட்ச்
arugil,அருகில்
35,35
aam,ஆம்
kaalaatpadaiyani,காலாட்படையணி
thaan,தான்
yethirkonda,எதிர்கொண்ட
500,500
vadakoriya,வடகொரிய
porveerargalai,போர்வீரர்களைப்
purangkandathu,புறங்கண்டது
</s>,</s>
kurumanveli,குருமண்வெளி
</s>,</s>
ikkalaivaiyudan,இக்கலவையுடன்
thevaiyaana,தேவையான
alavu,அளவு
neer,நீர்
oottri,ஊற்றி
nangu,நன்கு
kalanthukolla,கலந்துகொள்ள
vendum,வேண்டும்
</s>,</s>
kuzhanthai,குழந்தை
thaayin,தாயின்
mugaththil,முகத்தில்
than,தன்
vaay,வாய்
vaikkum,வைக்கும்
</s>,</s>
kolkaththaavilum,கொல்கத்தாவிலும்
chennaiyilum,சென்னையிலும்
ith,இத்
thiraippadam,திரைப்படம்
nalla,நல்ல
varverpaip,வரவேற்பைப்
pettrathu,பெற்றது
</s>,</s>
iruppinum,இருப்பினும்
56,56
muthalthara,முதல்தர
thuduppattap,துடுப்பாட்டப்
pottigalil,போட்டிகளில்
kalanthu,கலந்து
kondullaar,கொண்டுள்ளார்
</s>,</s>
ithan,இதன்
moolam,மூலம்
kidaththa,கிடைத்த
udalum,உடலும்
thalaiyum,தலையும்
aalavanthaarudaiyana,ஆளவந்தாருடையன
yenbathu,என்பது
uruthiyaanathu,உறுதியானது
</s>,</s>
pelofov,பேவொல்ஃபில்
inakkuzhu,இனக்குழு
mothalgal,மோதல்கள்
idamperaatha,இடம்பெறாத
paguthigalil,பகுதிகளில்
kanavuruppunaivuk,கனவுருப்புனைவுக்
koorugalaith,கூறுகளைத்
thedakkoodaathendru,தேடக்கூடாதென்று
koorinaar,கூறினார்
dolkin,டோல்கீன்
</s>,</s>
jappaanilirundhu,ஜப்பானிலிருந்து
dutchkaarargal,டச்சுக்காரரகள்
vazhiyaaga,வழியாக
england,இங்கிலாந்து
france,பிரான்ஸ்
